,article_name,country,revision_id,article_quality,population
794,Ebun Oyagbola,Nigeria,757336511,Start,"181,839,400"
795,Tejumade Alakija,Nigeria,757338458,Start,"181,839,400"
796,Gbolahan Olusegun Yishawu,Nigeria,757463566,Stub,"181,839,400"
797,Chinwe Obaji,Nigeria,757540500,Start,"181,839,400"
798,Fidelis Makka,Nigeria,757551494,Start,"181,839,400"
799,Fidelia Njeze,Nigeria,757562345,Start,"181,839,400"
800,Helen Esuene,Nigeria,757563136,Start,"181,839,400"
801,Manuela George-Izunwa,Nigeria,757613940,C,"181,839,400"
802,Ruqayyah Ahmed Rufa'i,Nigeria,757616922,Start,"181,839,400"
803,Clever Ikisikpo,Nigeria,757765871,Start,"181,839,400"
804,Samuel Adesina,Nigeria,757792473,Stub,"181,839,400"
805,Wilberforce Juta,Nigeria,757814345,Start,"181,839,400"
806,Mohammed Lawal,Nigeria,758372520,Start,"181,839,400"
807,Labaran Maku,Nigeria,758525626,Start,"181,839,400"
808,Nkechi Ikpeazu,Nigeria,758541021,Start,"181,839,400"
809,Mamman Kontagora,Nigeria,759171415,Start,"181,839,400"
810,Lamidi Adedibu,Nigeria,759508235,Start,"181,839,400"
811,Sarah Jibril,Nigeria,759698330,C,"181,839,400"
812,Ahmad Babba Kaita,Nigeria,760030043,Stub,"181,839,400"
813,Leo Segun Ajiborisha,Nigeria,760064451,Start,"181,839,400"
814,Deputy President of the Nigerian Senate,Nigeria,760126403,Stub,"181,839,400"
815,Walter Feghabo,Nigeria,760163064,Stub,"181,839,400"
816,Akanbi Oniyangi,Nigeria,760390131,Stub,"181,839,400"
817,Willie Obiano,Nigeria,760603745,Start,"181,839,400"
818,Chukwuebuka Anisiobi,Nigeria,761658964,Stub,"181,839,400"
819,Mohammed Kumalia,Nigeria,762063203,Stub,"181,839,400"
820,Gaius Obaseki,Nigeria,762106197,Start,"181,839,400"
821,Abd al-Qadir (Sokoto),Nigeria,762195257,Stub,"181,839,400"
822,Olugbenga Onaolapo Obadara,Nigeria,762379856,Stub,"181,839,400"
823,Ahmed Aboki Abdullahi,Nigeria,762496894,Stub,"181,839,400"
824,Friday Osanebi,Nigeria,762732359,Start,"181,839,400"
825,Abdulkadir Kure,Nigeria,763271950,Stub,"181,839,400"
826,Kande Balarabe,Nigeria,763593394,Stub,"181,839,400"
827,Richard Okonye,Nigeria,763681992,Start,"181,839,400"
828,Sabo Bakin Zuwo,Nigeria,763697656,Start,"181,839,400"
829,Mamman Shata,Nigeria,763883697,Start,"181,839,400"
830,Felix Hyatt,Nigeria,763999983,Stub,"181,839,400"
831,Zacheus Chukwukaelo Obi,Nigeria,764970868,Stub,"181,839,400"
832,Michael Opeyemi Bamidele,Nigeria,765023792,Start,"181,839,400"
833,Akachukwu Sullivan Nwankpo,Nigeria,765041723,C,"181,839,400"
834,Lekan Salami,Nigeria,765049939,Start,"181,839,400"
835,Moses Da Rocha,Nigeria,765260051,Start,"181,839,400"
836,Oluwaseyi Makinde,Nigeria,765263822,C,"181,839,400"
837,Yusuf Musa Nagogo,Nigeria,765273612,Start,"181,839,400"
838,Saidu Samaila Sambawa,Nigeria,765320219,C,"181,839,400"
839,Segun Abraham,Nigeria,765563643,Start,"181,839,400"
840,Bukar Shaib,Nigeria,766493465,Stub,"181,839,400"
841,Alhaji Yahaya Madawaki,Nigeria,766945320,Start,"181,839,400"
842,Gabriel Suswam,Nigeria,767628905,Start,"181,839,400"
843,Sir Jude Ejiogu,Nigeria,768045378,Stub,"181,839,400"
844,Sheikh Ahmed Abdullah,Nigeria,768212416,Start,"181,839,400"
845,Samson Omeruah,Nigeria,768292967,Start,"181,839,400"
846,Dabo Aliyu,Nigeria,768440728,Stub,"181,839,400"
847,Ibrahim Kazaure,Nigeria,768484304,Stub,"181,839,400"
848,Josaiah Ndubuisi Wachuku,Nigeria,768489794,Start,"181,839,400"
849,Bassey Asuquo,Nigeria,768587573,Stub,"181,839,400"
850,Michael Otedola,Nigeria,768611476,Start,"181,839,400"
851,Clem Ohameze,Nigeria,768747977,Start,"181,839,400"
852,Hadiza Bala Usman,Nigeria,769343495,Start,"181,839,400"
853,Abubakar Malami,Nigeria,769900146,Start,"181,839,400"
854,Ifeanyi Ugwuanyi,Nigeria,770052156,C,"181,839,400"
855,Steve Ayorinde,Nigeria,770262490,C,"181,839,400"
856,Richard Akinjide,Nigeria,770262534,Start,"181,839,400"
857,Sirika Hadi,Nigeria,771454540,Start,"181,839,400"
858,Ahmed Idris,Nigeria,771500609,Stub,"181,839,400"
859,Grace Ekpiwhre,Nigeria,771833733,Start,"181,839,400"
860,Victor Akande,Nigeria,772191879,Stub,"181,839,400"
861,Eziuche Ubani,Nigeria,772363251,Start,"181,839,400"
862,Isyaku Ibrahim,Nigeria,772366075,Start,"181,839,400"
863,Rilwanu Lukman,Nigeria,772635428,GA,"181,839,400"
864,Edmund Daukoru,Nigeria,772635472,Start,"181,839,400"
865,Augustus Aikhomu,Nigeria,772962322,Start,"181,839,400"
866,Felix A. Obuah,Nigeria,773417427,Start,"181,839,400"
867,Mike Akhigbe,Nigeria,773596602,Start,"181,839,400"
868,Omotayo Oduntan,Nigeria,773766121,Stub,"181,839,400"
869,Amal Pepple,Nigeria,773923186,Start,"181,839,400"
870,Haliru Zakari Jikantoro,Nigeria,774077595,Stub,"181,839,400"
871,Virginia Etiaba,Nigeria,774143828,Start,"181,839,400"
872,John Nnia Nwodo,Nigeria,774178817,Start,"181,839,400"
873,Samuel Ikon,Nigeria,774250291,Start,"181,839,400"
874,Ishaya Mark Aku,Nigeria,774378994,Start,"181,839,400"
875,Ibrahim Gusau,Nigeria,774470803,Stub,"181,839,400"
876,Idris Waziri,Nigeria,774519887,Stub,"181,839,400"
877,Stephen Oru,Nigeria,774657494,Start,"181,839,400"
878,Donald Duke,Nigeria,775247499,Start,"181,839,400"
879,Magaji Muhammed,Nigeria,775487584,Start,"181,839,400"
880,Henry Okon Archibong,Nigeria,775705253,Stub,"181,839,400"
881,Janet Nwadiogo Mokelu,Nigeria,776130152,Start,"181,839,400"
882,Philip Shaibu,Nigeria,776318059,C,"181,839,400"
883,Jereton Mariere,Nigeria,776503248,Start,"181,839,400"
884,Reynolds Bekinbo Dagogo-Jack,Nigeria,776690769,C,"181,839,400"
885,Mudasiru Oyetunde Hussein,Nigeria,776822971,Start,"181,839,400"
886,List of ambassadors of Nigeria,Nigeria,776971035,Stub,"181,839,400"
887,John Okechukwuemeka,Nigeria,777156398,Start,"181,839,400"
888,Joy Ogwu,Nigeria,777639961,Start,"181,839,400"
889,Stephen Akiga,Nigeria,777804573,Start,"181,839,400"
890,Adedeji Adeleke,Nigeria,777928073,Stub,"181,839,400"
891,Isa Yuguda,Nigeria,778076626,C,"181,839,400"
892,Kashim Ibrahim-Imam,Nigeria,778399850,Start,"181,839,400"
893,Kayode Otitoju,Nigeria,778492762,Start,"181,839,400"
894,Kema Chikwe,Nigeria,778591078,Start,"181,839,400"
895,Olusegun Olutoyin Aganga,Nigeria,779173965,C,"181,839,400"
896,Rita Akpan,Nigeria,779397776,Start,"181,839,400"
897,Aishat Ismail,Nigeria,779397867,Start,"181,839,400"
898,Maryam Ciroma,Nigeria,779397948,Start,"181,839,400"
899,Saudatu Bungudu,Nigeria,779398071,Stub,"181,839,400"
900,Jerry Gana,Nigeria,779398200,Start,"181,839,400"
901,Salamatu Hussaini Suleiman,Nigeria,779398347,Start,"181,839,400"
902,Josephine Anenih,Nigeria,779398522,Start,"181,839,400"
903,Khairat Abdulrazaq-Gwadabe,Nigeria,779398761,Start,"181,839,400"
904,Patricia Akwashiki,Nigeria,779399917,Start,"181,839,400"
905,Iyabo Anisulowo,Nigeria,779400398,Start,"181,839,400"
906,Kofoworola Bucknor,Nigeria,779408691,Stub,"181,839,400"
907,Mbonu Ojike,Nigeria,779424593,C,"181,839,400"
908,Badaru Abubakar,Nigeria,779439478,Start,"181,839,400"
909,Abubakar Mohammed,Nigeria,779487320,Stub,"181,839,400"
910,Adamu Garba Talba,Nigeria,779487343,Start,"181,839,400"
911,Ahmed Muhammad Maccido,Nigeria,779487453,Stub,"181,839,400"
912,Akinlabi Olasunkanmi,Nigeria,779487474,Start,"181,839,400"
913,Andrew Babalola,Nigeria,779487494,Stub,"181,839,400"
914,Audu Idris Umar,Nigeria,779487581,Start,"181,839,400"
915,Baba Tela,Nigeria,779487593,Start,"181,839,400"
916,Ben-Collins Ndu,Nigeria,779487623,Start,"181,839,400"
917,Dahiru Bako Gassol,Nigeria,779487749,Stub,"181,839,400"
918,Festus Olabode Ola,Nigeria,779487894,Stub,"181,839,400"
919,Gbenga Ogunniya,Nigeria,779487925,Start,"181,839,400"
920,Gregory Ngaji,Nigeria,779487945,Start,"181,839,400"
921,Gyang Dalyop Datong,Nigeria,779487950,Start,"181,839,400"
922,Haruna Abubakar,Nigeria,779487992,Stub,"181,839,400"
923,Haruna Aziz Zeego,Nigeria,779487993,Stub,"181,839,400"
924,Hassan Muhammed Gusau,Nigeria,779487997,Stub,"181,839,400"
925,Hosea Ehinlanwo,Nigeria,779488003,Start,"181,839,400"
926,Hyde Onuaguluchi,Nigeria,779488005,Stub,"181,839,400"
927,Ibiapuye Martyns-Yellowe,Nigeria,779488016,Stub,"181,839,400"
928,Ibrahim Kura Mohammed,Nigeria,779488019,Start,"181,839,400"
929,Ibrahim Kuta,Nigeria,779488020,Start,"181,839,400"
930,Ibrahim Muhammed Kirikasama,Nigeria,779488031,Start,"181,839,400"
931,Idi Othman Guda,Nigeria,779488036,Stub,"181,839,400"
932,Idris Abubakar,Nigeria,779488041,Start,"181,839,400"
933,Ifeanyi Ararume,Nigeria,779488044,Stub,"181,839,400"
934,Ikechukwu Obiorah,Nigeria,779488064,Start,"181,839,400"
935,Isa Mohammed (Nigerian senator),Nigeria,779488066,Stub,"181,839,400"
936,John Azuta-Mbata,Nigeria,779488110,Start,"181,839,400"
937,Jonathan Zwingina,Nigeria,779488117,Stub,"181,839,400"
938,Joseph Olatunji Ajayi,Nigeria,779488124,Stub,"181,839,400"
939,Joseph Waku,Nigeria,779488126,Stub,"181,839,400"
940,Jubril Aminu,Nigeria,779488141,Start,"181,839,400"
941,Julius Ucha,Nigeria,779488144,Start,"181,839,400"
942,Kaka Mallam Yale,Nigeria,779488147,Start,"181,839,400"
943,Kawu Peto Dukku,Nigeria,779488152,Start,"181,839,400"
944,Lawrence Ayo,Nigeria,779488173,Stub,"181,839,400"
945,Mohammed A. Muhammed,Nigeria,779488234,Start,"181,839,400"
946,Mohammed Adamu Bello,Nigeria,779488239,Start,"181,839,400"
947,Mohammed Tukur Liman,Nigeria,779488251,Stub,"181,839,400"
948,Moji Akinfenwa,Nigeria,779488252,Start,"181,839,400"
949,Nimi Barigha-Amange,Nigeria,779488273,Start,"181,839,400"
950,Omololu Meroyi,Nigeria,779488303,Start,"181,839,400"
951,Osita Izunaso,Nigeria,779488337,Start,"181,839,400"
952,Otaru Salihu Ohize,Nigeria,779488339,Stub,"181,839,400"
953,Patrick Aga,Nigeria,779488345,Stub,"181,839,400"
954,Patrick Osakwe,Nigeria,779488348,Start,"181,839,400"
955,Roland Owie,Nigeria,779488355,Stub,"181,839,400"
956,Sa'idu Ahmed Alkali,Nigeria,779488356,Stub,"181,839,400"
957,Sahabi Alhaji Ya：?,Nigeria,779488360,Start,"181,839,400"
958,Saidu Kumo,Nigeria,779488368,Start,"181,839,400"
959,Salisu Matori,Nigeria,779488370,Stub,"181,839,400"
960,Sama??ila Mamman,Nigeria,779488376,Start,"181,839,400"
961,Satty Davies Gogwim,Nigeria,779488378,Start,"181,839,400"
962,Silas Janfa,Nigeria,779488381,Start,"181,839,400"
963,Simeon Oduoye,Nigeria,779488383,Start,"181,839,400"
964,Simon Ajibola,Nigeria,779488384,Start,"181,839,400"
965,Sola Akinyede,Nigeria,779488387,Stub,"181,839,400"
966,Sylvanus Ngele,Nigeria,779488405,Stub,"181,839,400"
967,Sylvester Anyanwu,Nigeria,779488409,Start,"181,839,400"
968,Sylvester Ayodele Arise,Nigeria,779488411,Start,"181,839,400"
969,Tawar Umbi Wada,Nigeria,779488414,Stub,"181,839,400"
970,Tokunbo Afikuyomi,Nigeria,779488428,Stub,"181,839,400"
971,Tupele-Ebi Diffa,Nigeria,779488435,Stub,"181,839,400"
972,Udoma Udo Udoma,Nigeria,779488440,Start,"181,839,400"
973,Umar Usman Dukku,Nigeria,779488443,Stub,"181,839,400"
974,Umaru Dahiru,Nigeria,779488446,Start,"181,839,400"
975,Victor Oyofo,Nigeria,779488452,Stub,"181,839,400"
976,Vincent Obasi Usulor,Nigeria,779488454,Stub,"181,839,400"
977,Wahab Dosunmu,Nigeria,779488456,Stub,"181,839,400"
978,Wilson Asinobi Ake,Nigeria,779488458,Start,"181,839,400"
979,Yushau Anka,Nigeria,779488463,Start,"181,839,400"
980,Gbemisola Ruqayyah Saraki,Nigeria,779488979,Start,"181,839,400"
981,Joy Emodi,Nigeria,779489069,Start,"181,839,400"
982,Nkechi Justina Nwaogu,Nigeria,779489215,Start,"181,839,400"
983,Stella Omu,Nigeria,779489281,C,"181,839,400"
984,Zainab Abdulkadir Kure,Nigeria,779489373,Stub,"181,839,400"
985,Nenadi Usman,Nigeria,779578315,Start,"181,839,400"
986,Ken Nnamani,Nigeria,779710549,Start,"181,839,400"
987,Jumoke Akindele,Nigeria,779732906,Start,"181,839,400"
988,Patrica Ndogu,Nigeria,779745886,Stub,"181,839,400"
989,Lateef Adegbite,Nigeria,779961769,C,"181,839,400"
990,Ita David Ikpeme,Nigeria,780341622,Start,"181,839,400"
991,Nkeiruka Onyejeocha,Nigeria,781024802,Stub,"181,839,400"
992,Folake Olunloyo,Nigeria,781239098,Stub,"181,839,400"
993,List of impeached Nigerian state governors,Nigeria,781543519,Start,"181,839,400"
994,Ebikabowei Victor-Ben,Nigeria,782178603,Start,"181,839,400"
995,Segun Adewale (Aeroland),Nigeria,782357462,Start,"181,839,400"
996,Sunday Fajinmi,Nigeria,782357673,Start,"181,839,400"
997,Ibrahim Tahir,Nigeria,782437981,Start,"181,839,400"
998,Adams Dabotorudima,Nigeria,782848034,Stub,"181,839,400"
999,Smart Adeyemi,Nigeria,783362770,Start,"181,839,400"
1000,Anna Mghwira,Nigeria,783656407,Start,"181,839,400"
1001,Martin Elechi,Nigeria,783728193,Stub,"181,839,400"
1002,James Ocholi,Nigeria,783737928,Stub,"181,839,400"
1003,Clement Isong,Nigeria,783833481,C,"181,839,400"
1004,Mas??ud El-Jibril,Nigeria,783912480,Stub,"181,839,400"
1005,Ikuinyi O. Ibani,Nigeria,783959501,Stub,"181,839,400"
1006,Bala Mohammed,Nigeria,784005120,Start,"181,839,400"
1007,Matthew Mbu Junior,Nigeria,784026624,Start,"181,839,400"
1008,Mohammed Saleh,Nigeria,784066388,Start,"181,839,400"
1009,Omobola Johnson,Nigeria,784420624,C,"181,839,400"
1010,Moses Majekodunmi,Nigeria,784959290,Start,"181,839,400"
1011,Temitope Aluko,Nigeria,784986720,Start,"181,839,400"
1012,Soji Adejumo,Nigeria,784990535,Start,"181,839,400"
1013,Sam Dede,Nigeria,786058863,Stub,"181,839,400"
1014,Christopher Kolade,Nigeria,786694361,Start,"181,839,400"
1015,Abba Musa Rimi,Nigeria,787364831,Start,"181,839,400"
1016,Abdallah Wali,Nigeria,787384789,Stub,"181,839,400"
1017,Abdul'aziz Abubakar Yari,Nigeria,787393938,Start,"181,839,400"
1018,Abdul Yandoma,Nigeria,787402226,Stub,"181,839,400"
1019,Abdulahi Bala Adamu,Nigeria,787402298,Start,"181,839,400"
1020,Abdulazeez Ibrahim,Nigeria,787402426,Start,"181,839,400"
1021,Abdulaziz Usman,Nigeria,787402662,Start,"181,839,400"
1022,Abdullahi Shelleng,Nigeria,787407307,Start,"181,839,400"
1023,Abdulmumini M. Hassan,Nigeria,787407620,Stub,"181,839,400"
1024,Abdurrahman Shugaba Darman,Nigeria,787408840,Start,"181,839,400"
1025,Abike Dabiri,Nigeria,787427764,Start,"181,839,400"
1026,Abubakar Atiku Bagudu,Nigeria,787471496,Start,"181,839,400"
1027,Abubakar Habu Hashidu,Nigeria,787471669,Start,"181,839,400"
1028,Abubakar Iro Danmusa,Nigeria,787471696,Stub,"181,839,400"
1029,Abubakar Mahdi,Nigeria,787471718,Stub,"181,839,400"
1030,Adawari Pepple,Nigeria,787640191,Start,"181,839,400"
1031,Adebayo Adedeji,Nigeria,787649558,Start,"181,839,400"
1032,Adebayo Salami,Nigeria,787649673,Stub,"181,839,400"
1033,Adefemi Kila,Nigeria,787650223,Start,"181,839,400"
1034,Adeleke Mamora,Nigeria,787659664,Start,"181,839,400"
1035,Adoga Onah,Nigeria,787707786,Start,"181,839,400"
1036,Wilson Sabiya,Nigeria,787708023,Stub,"181,839,400"
1037,Efunroye Tinubu,Nigeria,787788195,C,"181,839,400"
1038,Ahmed Hassan Barata,Nigeria,787914691,Start,"181,839,400"
1039,Ahmed Mohammed Inuwa,Nigeria,787916328,Stub,"181,839,400"
1040,Ahmed Usman,Nigeria,787919039,Start,"181,839,400"
1041,Ahmed Zanna,Nigeria,787919453,Start,"181,839,400"
1042,Mamman Bello Ali,Nigeria,787959802,Stub,"181,839,400"
1043,Akin Babalola Kamar Odunsi,Nigeria,788033950,Start,"181,839,400"
1044,Akpan Isemin,Nigeria,788042755,Start,"181,839,400"
1045,Emmanuel C. Aguma,Nigeria,788177602,Stub,"181,839,400"
1046,Desmond Akawor,Nigeria,788177605,Stub,"181,839,400"
1047,John Bazia,Nigeria,788177613,Stub,"181,839,400"
1048,Chinyere Igwe,Nigeria,788177633,Stub,"181,839,400"
1049,Bright Jacob,Nigeria,788177639,Stub,"181,839,400"
1050,Isaac Kamalu,Nigeria,788177641,Stub,"181,839,400"
1051,Kenneth Kobani,Nigeria,788177644,Stub,"181,839,400"
1052,Roseline Konya,Nigeria,788177649,Stub,"181,839,400"
1053,Fred Kpakol,Nigeria,788177653,Stub,"181,839,400"
1054,Ephraim Nwuzi,Nigeria,788177657,Stub,"181,839,400"
1055,Ukel Oyaghiri,Nigeria,788177671,Start,"181,839,400"
1056,Chukwuemeka Woke,Nigeria,788177679,Stub,"181,839,400"
1057,Albert Legogie,Nigeria,788197928,Stub,"181,839,400"
1058,Godwin Obaseki,Nigeria,788436008,Stub,"181,839,400"
1059,Ogor Okuweh,Nigeria,788443858,Stub,"181,839,400"
1060,Mohammed Barkindo,Nigeria,788475043,Stub,"181,839,400"
1061,Ali Sa'ad Birnin-Kudu,Nigeria,788480390,Stub,"181,839,400"
1062,Aliyu Doma,Nigeria,788534823,Start,"181,839,400"
1063,Obinna Chidoka,Nigeria,788693572,Start,"181,839,400"
1064,Aminu Sule Garo,Nigeria,788879037,Start,"181,839,400"
1065,Amos Adamu,Nigeria,788902905,GA,"181,839,400"
1066,Ebiti Ndok,Nigeria,788932955,Stub,"181,839,400"
1067,Wuraola Esan,Nigeria,788997606,Start,"181,839,400"
1068,Elizabeth Adekogbe,Nigeria,789002958,Start,"181,839,400"
1069,Remi Sonaiya,Nigeria,789093991,Start,"181,839,400"
1070,Henry Adefope,Nigeria,789230538,Start,"181,839,400"
1071,Annie Okonkwo,Nigeria,789345193,Start,"181,839,400"
1072,Anthony Agbo,Nigeria,789397226,Start,"181,839,400"
1073,Anthony George Manzo,Nigeria,789405518,Start,"181,839,400"
1074,Anthony Ikhazoboh,Nigeria,789407739,Stub,"181,839,400"
1075,Silas Ali Agara,Nigeria,789549126,Stub,"181,839,400"
1076,Idris Wada,Nigeria,789549141,Stub,"181,839,400"
1077,Onimim Jacks,Nigeria,789653447,Start,"181,839,400"
1078,Arikpo Okoi,Nigeria,789701950,Stub,"181,839,400"
1079,John Wash Pam,Nigeria,789828178,Stub,"181,839,400"
1080,Asheik Jarma,Nigeria,789897702,Start,"181,839,400"
1081,Onyeka Onwenu,Nigeria,790034865,Start,"181,839,400"
1082,Awwal Ibrahim,Nigeria,790270671,Start,"181,839,400"
1083,Ayo Oni,Nigeria,790294111,Stub,"181,839,400"
1084,Kingsley Kuku,Nigeria,790340381,C,"181,839,400"
1085,Baba Adamu Iyam,Nigeria,790369329,Stub,"181,839,400"
1086,Babafemi Ogundipe,Nigeria,790370929,Start,"181,839,400"
1087,Babatunde Elegbede,Nigeria,790372368,Start,"181,839,400"
1088,Badamasi Maccido,Nigeria,790410910,Start,"181,839,400"
1089,Aisha Alhassan,Nigeria,790411731,C,"181,839,400"
1090,Bashir Adeniyi Musa,Nigeria,790695051,Stub,"181,839,400"
1091,Matthew Ifeanyi Nwagwu,Nigeria,790841268,Start,"181,839,400"
1092,Bello Maitama Yusuf,Nigeria,790915504,Stub,"181,839,400"
1093,Alhaji Alabi Hassan Olajoku,Nigeria,790921577,C,"181,839,400"
1094,Bello Hayatu Gwarzo,Nigeria,791012716,Start,"181,839,400"
1095,Bello Jibrin Gada,Nigeria,791012753,Start,"181,839,400"
1096,Maitama Sule,Nigeria,791392061,C,"181,839,400"
1097,Salisu Abubakar Maikasuwa,Nigeria,791421640,Stub,"181,839,400"
1098,Biodun Ogunbiyi,Nigeria,791503119,Start,"181,839,400"
1099,Blessing Didia,Nigeria,791690154,Stub,"181,839,400"
1100,Babachi Lawal,Nigeria,791726285,Stub,"181,839,400"
1101,Bob-Manuel Udokwu,Nigeria,791767952,Stub,"181,839,400"
1102,Kate Henshaw,Nigeria,791798551,Start,"181,839,400"
1103,Pauline Tallen,Nigeria,791824810,Start,"181,839,400"
1104,Bola Afonja,Nigeria,791885383,Stub,"181,839,400"
1105,Brimmo Yusuf,Nigeria,792328388,Start,"181,839,400"
1106,T. O. S. Benson,Nigeria,792375026,GA,"181,839,400"
1107,Bukky Wright,Nigeria,792576231,Start,"181,839,400"
1108,Bethel Nnaemeka Amadi,Nigeria,792729943,Stub,"181,839,400"
1109,Yahaya Bello,Nigeria,792796516,Stub,"181,839,400"
1110,Godwin Ogbaga,Nigeria,793630677,Start,"181,839,400"
1111,Umaru Dikko,Nigeria,793750975,Start,"181,839,400"
1112,Ali Modu Sheriff,Nigeria,793902400,Start,"181,839,400"
1113,Samuel Akintola,Nigeria,793922357,C,"181,839,400"
1114,Chijioke Nwakodo,Nigeria,793947308,Stub,"181,839,400"
1115,Chinyere Ike Nwosu,Nigeria,794022939,Start,"181,839,400"
1116,Kamorudeen Adekunle Adedibu,Nigeria,794024094,Stub,"181,839,400"
1117,Lanre Towry-Coker,Nigeria,794044467,Start,"181,839,400"
1118,Chris Ogiemwonyi,Nigeria,794130997,C,"181,839,400"
1119,Aliyu Abubakar,Nigeria,794160019,Stub,"181,839,400"
1120,Oshodi Tapa,Nigeria,794164823,Start,"181,839,400"
1121,Thomas Aguiyi-Ironsi,Nigeria,794209686,Stub,"181,839,400"
1122,Chukwuemeka Ezeife,Nigeria,794311690,Start,"181,839,400"
1123,Chukwuemeka Ihedioha,Nigeria,794311724,Start,"181,839,400"
1124,Clarence Olafemi,Nigeria,794589024,Start,"181,839,400"
1125,Cletus Komena Emein,Nigeria,794659435,Start,"181,839,400"
1126,Henry Dele Alake,Nigeria,795105762,C,"181,839,400"
1127,Osita Ogbu,Nigeria,795125234,Stub,"181,839,400"
1128,Abubakar Barde,Nigeria,795220296,Start,"181,839,400"
1129,Olajumoke Okoya-Thomas,Nigeria,795391316,Start,"181,839,400"
1130,Draft:Moses Ukpong,Nigeria,795631581,Start,"181,839,400"
1131,Anthony Obi,Nigeria,795834056,Start,"181,839,400"
1132,Alphonsus Obi Igbeke,Nigeria,795961653,Start,"181,839,400"
1133,Attahiru Bafarawa,Nigeria,796043577,Start,"181,839,400"
1134,Marshal Harry,Nigeria,796168791,Stub,"181,839,400"
1135,Janet Akinrinade,Nigeria,796211909,Start,"181,839,400"
1136,Adebayo Johnson Bankole,Nigeria,796219391,Start,"181,839,400"
1137,Laz Unaogu,Nigeria,796222560,Start,"181,839,400"
1138,Ahmed Sani Stores,Nigeria,796308865,Stub,"181,839,400"
1139,Ali Olanusi,Nigeria,796490612,Start,"181,839,400"
1140,Alani Bankole,Nigeria,796491693,Start,"181,839,400"
1141,Lee Maeba,Nigeria,796671529,Start,"181,839,400"
1142,Wahab Dosumu,Nigeria,796741557,Stub,"181,839,400"
1143,Adebayo Lawal,Nigeria,796850334,Stub,"181,839,400"
1144,Bashir Tofa,Nigeria,797039755,Start,"181,839,400"
1145,Henry Hesketh Bell,Nigeria,797072646,Stub,"181,839,400"
1146,Oluranti Adebule,Nigeria,797214276,Start,"181,839,400"
1147,Bello Mohammed Tukur,Nigeria,797218957,Start,"181,839,400"
1148,Dan Etete,Nigeria,797311518,Start,"181,839,400"
1149,Umar Barde Yakubu,Nigeria,797486598,Stub,"181,839,400"
1150,David Ejoor,Nigeria,797505812,Stub,"181,839,400"
1151,Patrick Obahiagbon,Nigeria,797615860,Start,"181,839,400"
1152,Olatoye Tempitope Sugar,Nigeria,797615899,C,"181,839,400"
1153,Beni Lar,Nigeria,797669571,C,"181,839,400"
1154,Gregory Agboneni,Nigeria,797785096,Stub,"181,839,400"
1155,Lynda Chuba-Ikpeazu,Nigeria,797821827,Stub,"181,839,400"
1156,Mahmud Kanti Bello,Nigeria,797892196,Start,"181,839,400"
1157,Abubakar Musa,Nigeria,798037046,Start,"181,839,400"
1158,Martins Azubuike,Nigeria,798266586,Stub,"181,839,400"
1159,Ibrahim Kefas,Nigeria,798282992,Start,"181,839,400"
1160,James Churchill Vaughan,Nigeria,798353163,Start,"181,839,400"
1161,James Johnson (minister),Nigeria,798356435,Start,"181,839,400"
1162,Joseph Fadahunsi,Nigeria,798454843,Start,"181,839,400"
1163,Julius Momo Udochi,Nigeria,798471351,Stub,"181,839,400"
1164,Catherine Obianuju Acholonu,Nigeria,798483512,C,"181,839,400"
1165,Kayode Soyinka,Nigeria,798507447,B,"181,839,400"
1166,Kemi Adeosun,Nigeria,798515840,Start,"181,839,400"
1167,Dahiru Awaisu Kuta,Nigeria,798692069,Stub,"181,839,400"
1168,Dalhatu Umaru Sangari,Nigeria,798724678,Stub,"181,839,400"
1169,Sam Egwu,Nigeria,798766678,Start,"181,839,400"
1170,Daniel Saror,Nigeria,798871647,Stub,"181,839,400"
1171,Mohammed Abba Gana,Nigeria,799023344,Stub,"181,839,400"
1172,David Bamigboye,Nigeria,799083660,Start,"181,839,400"
1173,David Brigidi,Nigeria,799098387,Start,"181,839,400"
1174,Reyenieju Daniel,Nigeria,799130747,Start,"181,839,400"
1175,Davou Zang,Nigeria,799279077,Stub,"181,839,400"
1176,Adekoya Adesegun Abdel-Majid,Nigeria,799449037,C,"181,839,400"
1177,Albert Horsfall,Nigeria,799605501,C,"181,839,400"
1178,Desmond Elliot,Nigeria,799714270,C,"181,839,400"
1179,Onyebuchi Chukwu,Nigeria,799923214,Start,"181,839,400"
1180,Muhammadu Dikko Yusufu,Nigeria,799924848,Start,"181,839,400"
1181,Kam Selem,Nigeria,799927567,Stub,"181,839,400"
1182,Domingo Alaba Obende,Nigeria,800232100,Start,"181,839,400"
1183,Donald Etiebet,Nigeria,800294893,Start,"181,839,400"
1184,Dora Akunyili,Nigeria,800350441,C,"181,839,400"
1185,Doyin Okupe,Nigeria,800449623,Stub,"181,839,400"
1186,Adenike Grange,Nigeria,800470827,C,"181,839,400"
1187,Babatunde Omotoba,Nigeria,800565045,Start,"181,839,400"
1188,Femi Falana,Nigeria,800594693,Stub,"181,839,400"
1189,Sunday Ifere,Nigeria,800722221,Stub,"181,839,400"
1190,Gogo Chu Nzeribe,Nigeria,800933617,Stub,"181,839,400"
1191,Joseph Abulu,Nigeria,800983788,Start,"181,839,400"
1192,Tope Ademiluyi,Nigeria,801006664,Stub,"181,839,400"
1193,Blessing Nwagba,Nigeria,801081477,Start,"181,839,400"
